event_id,event_title,event_venue,event_listing,event_country_noc,event_date_m,prog_distance_category_m,prog_notes_m,event_category_ids_m,level_m,swim_mean_m,swim_std_m,swim_all_m,swim_mean_m_last,swim_std_m_last,t1_mean_m,t1_std_m,t1_all_m,t1_mean_m_last,t1_std_m_last,bike_mean_m,bike_std_m,bike_all_m,bike_mean_m_last,bike_std_m_last,t2_mean_m,t2_std_m,t2_all_m,t2_mean_m_last,t2_std_m_last,run_mean_m,run_std_m,run_all_m,run_mean_m_last,run_std_m_last,age_mean_m,age_std_m,n_finishers_m,pack_size_m,is_winner_in_front_pack_m,is_best_runner_in_front_pack_m,best_runner_wins_m,second_delay_m,winner_m,winner_country_m,second_m,second_country_m,air_temperature_m,water_temperature_m,wetsuit_m,event_date_w,prog_distance_category_w,prog_notes_w,event_category_ids_w,level_w,swim_mean_w,swim_std_w,swim_all_w,swim_mean_w_last,swim_std_w_last,t1_mean_w,t1_std_w,t1_all_w,t1_mean_w_last,t1_std_w_last,bike_mean_w,bike_std_w,bike_all_w,bike_mean_w_last,bike_std_w_last,t2_mean_w,t2_std_w,t2_all_w,t2_mean_w_last,t2_std_w_last,run_mean_w,run_std_w,run_all_w,run_mean_w_last,run_std_w_last,age_mean_w,age_std_w,n_finishers_w,pack_size_w,is_winner_in_front_pack_w,is_best_runner_in_front_pack_w,best_runner_wins_w,second_delay_w,winner_w,winner_country_w,second_w,second_country_w,air_temperature_w,water_temperature_w,wetsuit_w
183763,2024 World Triathlon Championship Series Yokohama,Yokohama,https://www.triathlon.org/events/2023-world-triathlon-championship-series-yokohama1,JPN,2024-05-11,standard,"technical Delegate: Adele Cheah Lynn-Li/MAS.
Athlete #26 Batista/POR served a time penalty of 15 seconds during the run segment.",[351],16.522727272727273,1064.8,0.9797958971132713,"[1071, 1062, 1073, 1069, 1075, 1072, 1064, 1066, 1059, 1075, 1103, 1064, 1090, 1073, 1093, 1100, 1066, 1076, 1061, 1096, 1099, 1073, 1058, 1069, 1068, 1067, 1064, 1072, 1078, 1098, 1069, 1094, 1096, 1071, 1089, 1101, 1073, 1077, 1086, 1081, 1099, 1160, 1100, 1113, 1101, 1080, 1079]",1099.8,0.7483314773547883,52.4,0.4898979485566356,"[52, 54, 55, 55, 54, 60, 54, 55, 58, 56, 54, 52, 52, 53, 55, 55, 51, 53, 55, 55, 53, 56, 59, 54, 55, 58, 52, 62, 52, 55, 59, 54, 58, 54, 56, 55, 54, 56, 55, 50, 58, 53, 58, 56, 58, 53, 55]",58.0,0.0,3198.4,4.409081537009721,"[3227, 3229, 3217, 3220, 3214, 3211, 3226, 3249, 3225, 3211, 3192, 3252, 3205, 3218, 3194, 3213, 3228, 3214, 3226, 3197, 3192, 3217, 3228, 3220, 3218, 3222, 3312, 3226, 3237, 3205, 3219, 3194, 3241, 3220, 3202, 3191, 3215, 3211, 3438, 3216, 3186, 3364, 3231, 3410, 3210, 3214, 3209]",3242.0,7.694153624668538,21.0,0.0,"[27, 21, 21, 21, 26, 24, 22, 21, 21, 25, 24, 23, 24, 25, 21, 20, 21, 21, 22, 24, 20, 24, 23, 23, 22, 23, 25, 25, 24, 23, 23, 26, 28, 25, 24, 21, 22, 22, 23, 21, 21, 23, 25, 21, 26, 23, 23]",25.2,0.4,1783.4,4.8,"[1751, 1769, 1775, 1783, 1783, 1789, 1793, 1768, 1798, 1802, 1800, 1787, 1824, 1829, 1839, 1817, 1842, 1848, 1853, 1848, 1865, 1863, 1868, 1874, 1880, 1881, 1802, 1872, 1868, 1882, 1911, 1913, 1860, 1920, 1926, 1937, 1968, 1987, 1770, 2027, 2033, 1815, 2012, 1833, 2093, 2121, 2134]",1986.2,31.883538072177622,29.660780287474335,4.324492128955834,47,34,True,True,True,7,Morgan Pearson,USA,Matthew Hauser,AUS,,,False,2024-05-11,standard,"technical Delegate: Adele Cheah Lynn-Li/MAS
Athlete #18 Gomez-Göggel served a time penalty of 15 seconds during the run segment",[351],14.840909090909092,1101.6,1.2000000000000002,"[1115, 1099, 1100, 1101, 1100, 1107, 1101, 1104, 1103, 1106, 1120, 1119, 1105, 1133, 1136, 1105, 1098, 1136, 1124, 1135, 1129, 1148, 1132, 1127, 1136, 1125, 1153, 1120, 1127, 1153, 1155, 1150, 1104, 1215, 1109, 1155, 1153, 1133, 1106, 1103, 1144, 1131, 1135, 1131, 1148, 1131, 1097, 1141, 1104, 1214, 1156, 1153, 1191, 1182, 1153]",1154.4,1.2,65.4,0.4898979485566356,"[65, 73, 65, 67, 69, 68, 68, 69, 70, 63, 66, 64, 72, 65, 72, 69, 68, 68, 72, 74, 74, 66, 69, 66, 64, 76, 69, 68, 74, 69, 66, 71, 71, 70, 74, 65, 86, 70, 68, 66, 70, 71, 70, 72, 70, 73, 71, 70, 72, 70, 78, 77, 74, 71, 73]",74.0,0.0,3571.4,1.019803902718557,"[3563, 3571, 3577, 3575, 3574, 3570, 3575, 3571, 3570, 3573, 3623, 3626, 3566, 3679, 3673, 3570, 3577, 3674, 3686, 3668, 3673, 3666, 3675, 3687, 3679, 3676, 3659, 3621, 3678, 3657, 3659, 3659, 3703, 3665, 3627, 3657, 3712, 3676, 3638, 3572, 3667, 3679, 3676, 3680, 3664, 3673, 3709, 3668, 3710, 3668, 3795, 3722, 3762, 3776, 3659]",3704.2,9.10823802938856,23.6,0.4898979485566356,"[25, 32, 23, 23, 29, 25, 25, 26, 27, 24, 23, 23, 27, 32, 28, 25, 26, 24, 25, 24, 24, 23, 25, 26, 25, 26, 27, 27, 22, 25, 30, 24, 29, 24, 24, 26, 26, 25, 26, 26, 28, 26, 27, 27, 26, 26, 26, 27, 30, 32, 29, 25, 25, 25, 30]",29.4,0.4898979485566356,2026.4,9.046546302318914,"[1982, 2011, 2025, 2040, 2044, 2048, 2052, 2055, 2073, 2086, 2025, 2030, 2102, 1969, 1976, 2127, 2135, 2012, 2044, 2056, 2061, 2068, 2081, 2076, 2106, 2112, 2111, 2189, 2128, 2127, 2124, 2134, 2130, 2068, 2220, 2155, 2097, 2178, 2250, 2324, 2191, 2199, 2213, 2217, 2228, 2251, 2282, 2298, 2337, 2270, 2213, 2296, 2349, 2370, 2566]",2294.0,18.110770276274835,32.06132785763176,3.271901570426595,55,14,True,False,False,36,Leonie Periault,FRA,Taylor Knibb,USA,25.4,19.8,True
183764,2024 World Triathlon Championship Series Cagliari,Cagliari,https://www.triathlon.org/events/2024-world-triathlon-championship-series-cagliari,ITA,2024-05-25,standard,"Technical Delegate: Dag Oliver/NOR.
Athlete #5 Van Riel/BEL served a penalty of 15 seconds during the run segment.",[351],19.34090909090909,1115.2,1.3266499161421599,"[1122, 1123, 1115, 1118, 1126, 1111, 1123, 1132, 1116, 1113, 1109, 1122, 1126, 1122, 1117, 1115, 1136, 1137, 1153, 1123, 1156, 1137, 1117, 1143, 1127, 1139, 1136, 1140, 1136, 1127, 1127, 1169, 1160, 1157, 1138, 1122, 1163, 1125, 1109, 1113, 1125, 1140, 1166, 1158, 1132, 1142, 1157, 1158, 1161]",1158.0,1.0954451150103321,33.0,0.0,"[35, 35, 33, 34, 34, 36, 35, 32, 34, 36, 32, 35, 38, 35, 35, 34, 32, 33, 34, 36, 32, 35, 34, 36, 36, 36, 36, 34, 36, 36, 35, 33, 36, 34, 33, 37, 33, 36, 36, 33, 36, 35, 38, 36, 34, 34, 37, 35, 36]",36.0,0.0,3060.4,1.9595917942265424,"[3059, 3058, 3068, 3064, 3057, 3070, 3059, 3053, 3066, 3067, 3077, 3059, 3173, 3061, 3064, 3066, 3167, 3165, 3149, 3057, 3147, 3164, 3067, 3156, 3173, 3161, 3165, 3161, 3164, 3174, 3253, 3250, 3141, 3225, 3166, 3294, 3255, 3175, 3178, 3179, 3289, 3161, 3246, 3258, 3169, 3333, 3257, 3258, 3255]",3255.6,1.7435595774162693,19.8,0.39999999999999997,"[19, 19, 18, 22, 21, 24, 27, 22, 20, 23, 20, 23, 24, 20, 21, 21, 19, 20, 22, 23, 20, 25, 22, 23, 19, 20, 26, 23, 21, 21, 24, 21, 24, 24, 22, 22, 21, 23, 21, 24, 24, 21, 23, 23, 22, 23, 25, 25, 24]",24.2,0.4,1801.8,2.4,"[1752, 1753, 1795, 1799, 1802, 1800, 1802, 1813, 1822, 1829, 1858, 1859, 1758, 1897, 1908, 1915, 1807, 1811, 1815, 1939, 1832, 1829, 1953, 1857, 1864, 1867, 1866, 1873, 1891, 1904, 1833, 1806, 1937, 1875, 1973, 1859, 1866, 1987, 2014, 2031, 1909, 2027, 1912, 1913, 2088, 1930, 2020, 2032, 2183]",2004.2,20.663010429267075,29.49924709103354,4.722707932064376,49,17,True,True,True,2,Alex Yee,GBR,Hayden Wilde,NZL,25.0,20.1,False,2024-05-25,standard,"Technical Delegate: Dag Oliver/NOR.
Athlete #21 Michel/BEL served a time penalty of 15 seconds during the run segment",[351],13.75,1140.8,1.1661903789690602,"[1143, 1147, 1140, 1139, 1150, 1150, 1148, 1138, 1151, 1148, 1142, 1150, 1152, 1147, 1137, 1144, 1145, 1138, 1149, 1153, 1142, 1141, 1144, 1133, 1148, 1162, 1189, 1192, 1185, 1195, 1226, 1190, 1208, 1158, 1225, 1191, 1154, 1169, 1213, 1145, 1193, 1192, 1213, 1216, 1213, 1182, 1187, 1201]",1206.0,7.042726744663604,44.2,0.4,"[47, 48, 49, 43, 47, 50, 46, 47, 44, 45, 47, 48, 48, 49, 48, 47, 46, 48, 45, 46, 44, 43, 48, 46, 50, 55, 53, 47, 44, 44, 49, 45, 37, 49, 43, 53, 50, 46, 46, 48, 49, 49, 47, 46, 47, 45, 46, 47]",49.4,0.4898979485566356,3237.6,0.8,"[3244, 3239, 3245, 3251, 3237, 3235, 3242, 3248, 3238, 3240, 3244, 3237, 3234, 3237, 3248, 3245, 3243, 3250, 3240, 3236, 3247, 3251, 3243, 3255, 3236, 3412, 3390, 3390, 3402, 3390, 3354, 3395, 3386, 3424, 3362, 3385, 3428, 3416, 3371, 3436, 3388, 3390, 3371, 3368, 3371, 3405, 3399, 3382]",3402.6,5.748043145279966,22.4,0.4898979485566356,"[24, 27, 22, 21, 22, 24, 24, 23, 24, 23, 28, 22, 24, 23, 25, 25, 24, 26, 24, 23, 30, 28, 25, 23, 24, 23, 27, 22, 24, 21, 27, 23, 30, 26, 25, 23, 26, 22, 29, 24, 27, 24, 26, 23, 26, 29, 25, 25]",27.4,0.4898979485566356,2027.6,6.406246951218788,"[1989, 1988, 1997, 2000, 2016, 2027, 2028, 2034, 2038, 2045, 2047, 2058, 2058, 2063, 2067, 2075, 2090, 2104, 2123, 2129, 2129, 2141, 2172, 2196, 2208, 2033, 2040, 2057, 2066, 2077, 2079, 2086, 2088, 2095, 2109, 2127, 2130, 2138, 2133, 2147, 2150, 2177, 2194, 2202, 2285, 2304, 2333, 2365]",2195.4,10.423051376636307,29.900068446269678,4.183709241357206,48,25,True,True,False,3,Cassandre Beaugrand,FRA,Lisa Tertsch,GER,23.0,19.5,True
183769,2024 World Triathlon Cup Samarkand,Samarkand,https://www.triathlon.org/events/2024-world-triathlon-cup-samarkand,UZB,2024-05-18,standard,Technical Delegate: Kyungsook Kim/KOR.,[349],45.22727272727273,1093.6,1.854723699099141,"[1090, 1094, 1093, 1141, 1092, 1065, 1092, 1128, 1097, 1125, 1143, 1138, 1143, 1133, 1140, 1144, 1120, 1139, 1121, 1108, 1111, 1066, 1087, 1140, 1137, 1109, 1137, 1131, 1135, 1122, 1135, 1133, 1103, 1116, 1117, 1170, 1196, 1226, 1224, 1140]",1142.2,1.469693845669907,28.0,0.0,"[30, 28, 28, 28, 29, 31, 29, 28, 30, 29, 28, 30, 29, 29, 28, 28, 29, 30, 27, 28, 29, 30, 28, 30, 29, 31, 32, 29, 32, 29, 31, 28, 31, 28, 29, 37, 28, 29, 29, 31]",30.8,0.39999999999999997,3057.4,29.24790590794493,"[3031, 3028, 3029, 3116, 3028, 3053, 3029, 3131, 3161, 3133, 3117, 3117, 3113, 3123, 3115, 3117, 3137, 3117, 3140, 3152, 3145, 3054, 3036, 3118, 3123, 3146, 3117, 3125, 3124, 3138, 3121, 3122, 3153, 3147, 3137, 3332, 3314, 3399, 3401, 3401]",3185.4,64.45649695725017,25.2,0.4,"[24, 26, 29, 25, 28, 27, 25, 25, 31, 31, 27, 25, 25, 29, 27, 34, 29, 30, 32, 33, 25, 28, 30, 27, 30, 28, 29, 32, 27, 31, 34, 24, 30, 26, 26, 31, 28, 29, 31, 34]",31.4,0.4898979485566356,1906.0,13.957077057894322,"[1935, 1944, 1943, 1819, 1966, 1975, 1987, 1868, 1866, 1879, 1884, 1895, 1916, 1919, 1924, 1916, 1929, 1938, 1944, 1951, 1971, 2110, 2131, 2008, 2008, 2030, 2053, 2055, 2058, 2063, 2079, 2110, 2145, 2184, 2211, 2137, 2166, 2063, 2227, 2326]",2137.8,18.258148865643527,26.08021902806297,4.025092470227578,40,8,True,False,False,11,Connor Bentley,GBR,Yanis Seguin,FRA,25.3,21.8,False,2024-05-18,standard,"Technical Delegate: Kyungsook Kim/KOR.
Athlete #25 Carr/IRL served a time penalty of 15 seconds during the run segment.",[349],45.5,1195.6,1.4966629547095767,"[1178, 1193, 1229, 1218, 1197, 1230, 1188, 1191, 1195, 1229, 1175, 1196, 1227, 1197, 1230, 1222, 1235, 1220, 1239, 1232, 1250, 1247, 1246, 1202, 1237, 1227, 1226, 1292, 1247, 1242, 1227, 1241, 1232]",1241.0,3.03315017762062,30.0,0.0,"[41, 29, 30, 32, 32, 32, 30, 31, 31, 30, 38, 29, 31, 31, 32, 31, 30, 31, 36, 30, 30, 30, 30, 31, 32, 31, 34, 36, 33, 34, 30, 35, 33]",33.8,0.7483314773547882,3424.8,3.124099870362662,"[3316, 3313, 3423, 3430, 3452, 3417, 3462, 3458, 3453, 3421, 3321, 3457, 3423, 3455, 3568, 3428, 3567, 3429, 3554, 3564, 3547, 3551, 3556, 3597, 3559, 3572, 3570, 3680, 3730, 3553, 3570, 3732, 3744]",3575.4,10.87382177525455,29.8,0.39999999999999997,"[31, 30, 32, 28, 30, 30, 32, 30, 29, 30, 35, 30, 32, 32, 32, 32, 30, 32, 35, 31, 29, 34, 32, 31, 31, 29, 30, 32, 33, 32, 27, 33, 32]",32.2,0.4,2147.0,13.023056476879765,"[2203, 2207, 2075, 2098, 2114, 2122, 2129, 2137, 2147, 2165, 2336, 2203, 2224, 2272, 2157, 2321, 2186, 2340, 2220, 2235, 2240, 2242, 2265, 2281, 2301, 2338, 2375, 2218, 2268, 2489, 2537, 2353, 2457]",2337.6,10.209799214480176,25.480082135523613,4.036969851833915,33,3,True,False,False,3,Lena Meißner,GER,Jessica Fullagar,GBR,19.9,21.2,False
183770,2024 World Triathlon Cup Huatulco,Huatulco,https://www.triathlon.org/events/2024-world-triathlon-cup-huatulco,MEX,2024-05-18,sprint,Technical Delegate: Paul Brandt/USA.,[349],44.88636363636364,559.2,0.7483314773547883,"[572, 575, 561, 573, 556, 560, 574, 560, 559, 577, 574, 560, 562, 558, 573, 570, 556, 555, 565, 562, 563, 563, 575, 567, 560, 574, 561, 575, 565, 581, 557, 569, 561, 574, 579, 577, 559, 577, 589, 579, 567, 582, 579, 585, 586]",579.0,1.2649110640673518,55.0,0.0,"[50, 57, 60, 58, 60, 53, 59, 56, 55, 57, 56, 57, 59, 58, 55, 56, 59, 61, 54, 51, 59, 60, 56, 58, 59, 58, 60, 56, 59, 55, 56, 60, 60, 58, 61, 55, 61, 61, 59, 55, 58, 60, 59, 57, 55]",60.0,0.0,1945.8,0.7483314773547883,"[1950, 1947, 1954, 1943, 1962, 1959, 1945, 1957, 1960, 1943, 1948, 1960, 1952, 1957, 1949, 1946, 1959, 1958, 1955, 1961, 1952, 1951, 1949, 1951, 1958, 1948, 1952, 1946, 1952, 1940, 1964, 1948, 1950, 1947, 1936, 1945, 1964, 2224, 2217, 2230, 2240, 2224, 2227, 2222, 2180]",2161.4,99.99519988479447,23.6,0.4898979485566356,"[22, 31, 36, 24, 28, 24, 29, 26, 22, 25, 27, 25, 25, 25, 29, 33, 23, 26, 24, 16, 27, 25, 29, 25, 32, 25, 27, 35, 25, 32, 28, 35, 24, 27, 32, 31, 25, 24, 26, 22, 28, 26, 23, 29, 33]",32.0,0.6324555320336759,916.2,6.013318551349164,"[894, 885, 890, 908, 904, 915, 912, 922, 930, 925, 924, 932, 937, 938, 937, 939, 946, 949, 954, 971, 966, 970, 964, 976, 968, 978, 986, 997, 1010, 1005, 1016, 1015, 1040, 1034, 1047, 1063, 1233, 1005, 1029, 1050, 1048, 1089, 1124, 1153, 1210]",1059.4,15.882065356873458,22.880766598220397,3.67470034716116,45,36,True,True,False,8,Richard Murray,NED,Mathis Beaulieu,CAN,29.3,30.0,False,2024-05-18,sprint,Technical Delegate: Paul Brandt/USA.,[349],44.09090909090909,637.8,2.315167380558045,"[644, 641, 659, 655, 661, 634, 654, 636, 659, 659, 648, 640, 657, 659, 637, 634, 641, 635, 653, 634, 656, 658, 635, 672, 657, 659, 660, 673, 656, 659, 675, 670, 659, 693]",661.8,4.166533331199932,60.4,1.2000000000000002,"[59, 58, 61, 62, 56, 66, 59, 64, 64, 63, 72, 71, 59, 65, 66, 67, 64, 69, 62, 64, 61, 63, 64, 55, 62, 68, 66, 63, 64, 64, 70, 66, 64, 76]",67.2,1.16619037896906,2133.6,1.4966629547095767,"[2147, 2151, 2131, 2134, 2138, 2148, 2135, 2149, 2128, 2131, 2133, 2138, 2136, 2127, 2151, 2149, 2146, 2150, 2141, 2150, 2135, 2130, 2150, 2367, 2311, 2306, 2304, 2361, 2314, 2308, 2420, 2359, 2440, 2402]",2330.6,24.08817137102773,24.6,0.4898979485566356,"[22, 16, 25, 28, 27, 28, 25, 26, 30, 31, 28, 24, 26, 28, 31, 28, 25, 26, 31, 21, 30, 25, 30, 24, 26, 30, 32, 27, 31, 30, 29, 23, 35, 26]",30.4,0.4898979485566356,1039.4,10.209799214480176,"[1022, 1029, 1019, 1021, 1026, 1042, 1051, 1055, 1049, 1052, 1057, 1068, 1070, 1074, 1077, 1091, 1100, 1109, 1120, 1158, 1150, 1170, 1177, 985, 1086, 1161, 1180, 1175, 1236, 1243, 1111, 1266, 1234, 1305]",1187.2,23.625410049351526,27.680766598220394,5.97537160521317,34,23,True,False,False,0,Alberte Kjær Pedersen,DEN,Rachel Klamer,NED,33.9,30.0,False
