event_id,event_title,event_slug,event_edit_date,event_venue,event_website,event_status,display_options,event_date,event_finish_date,event_country,event_country_isoa2,event_country_noc,event_region_id,event_country_id,event_region_name,event_logo,event_flag_circle,event_flag,event_latitude,event_longitude,event_categories,event_specifications,triathlonlive,event_listing,event_api_listing,prog_id,prog_name,prog_date,prog_time,result_id,result_country_noc,result_country_id,result_country_flag,result_country_flag_circle,position,total_time,team_order,team_id,result_listing,result_api_listing,headers,headers_count,splits,team,distance_category
188992,2025 World Triathlon Championship Finals Wollongong,2025-world-triathlon-championships-finals-wollongong,2025-09-03 09:24:47,Wollongong,https://wollongongtriathlon.com/,scheduled,"['trending', 'featured', 'live_trilive']",2025-10-15,2025-10-19,Australia,AU,AUS,14,111,Oceania,https://prod-tri-assets.imgix.net/80238e9f-8f11-4826-a3cb-6335d305cd4e.png,https://cms.triathlon.org/assets/8ffa9ee3-ea13-4c4e-ac81-11af20580c7e.svg,https://cms.triathlon.org/assets/925409a9-857d-45ea-9286-eebf554151c4.svg,-34.42483,150.89311,"[{'event_id': 188992, 'cat_id': 348, 'cat_name': 'World Championships', 'cat_parent_id': 1}, {'event_id': 188992, 'cat_id': 624, 'cat_name': 'World Championship Finals', 'cat_parent_id': 1}, {'event_id': 188992, 'cat_id': 351, 'cat_name': 'World Championship Series', 'cat_parent_id': 1}]","[{'event_id': 188992, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 188992, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}, {'event_id': 188992, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}, {'event_id': 188992, 'cat_id': 380, 'cat_name': 'Mixed Relay', 'cat_parent_id': 357}]",True,https://www.triathlon.org/events/2025-world-triathlon-championships-finals-wollongong,https://api.triathlon.org/v1/events/188992,674811,Elite Men,2025-10-19,17:00:00,1218578,POR,247,https://cms.triathlon.org/assets/db01427d-e3b5-4b3b-bf1c-e77bc82291a0,https://cms.triathlon.org/assets/b806f716-d5e9-4731-ad4b-43b9aa1d585b,5,01:43:44,,,https://www.triathlon.org/results/result/2025-world-triathlon-championships-finals-wollongong/674811,https://api.triathlon.org/v1/events/188992/programs/674811/results,"[{'segment': 'leg1', 'name': 'Swim'}, {'segment': 't1', 'name': 'T1'}, {'segment': 'leg2', 'name': 'Bike'}, {'segment': 't2', 'name': 'T2'}, {'segment': 'leg3', 'name': 'Run'}]",5,"['00:18:20', '00:00:45', '00:54:56', '00:00:23', '00:29:22', '01:43:44']",,standard
194996,2025 World Triathlon Championship Series French Riviera,2025-world-triathlon-championship-series-french-riviera,2025-08-31 00:00:00,French Riviera,,scheduled,"['trending', 'featured', 'live_trilive', 'has_timing']",2025-08-31,2025-08-31,France,FR,FRA,10,166,Europe,,https://cms.triathlon.org/assets/0730c9c1-0827-4d88-8920-f9e6e96dd43d.svg,https://cms.triathlon.org/assets/3e062fbf-4395-4774-92eb-ca731b033523.svg,43.42064954715801,6.76948668739044,"[{'event_id': 194996, 'cat_id': 351, 'cat_name': 'World Championship Series', 'cat_parent_id': 1}]","[{'event_id': 194996, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 194996, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}]",True,https://www.triathlon.org/events/2025-world-triathlon-championship-series-french-riviera,https://api.triathlon.org/v1/events/194996,676011,Elite Men,2025-08-31,14:45:00,1209490,POR,247,https://cms.triathlon.org/assets/db01427d-e3b5-4b3b-bf1c-e77bc82291a0,https://cms.triathlon.org/assets/b806f716-d5e9-4731-ad4b-43b9aa1d585b,2,00:50:57,,,https://www.triathlon.org/results/result/2025-world-triathlon-championship-series-french-riviera/676011,https://api.triathlon.org/v1/events/194996/programs/676011/results,"[{'segment': 'leg1', 'name': 'Swim'}, {'segment': 't1', 'name': 'T1'}, {'segment': 'leg2', 'name': 'Bike'}, {'segment': 't2', 'name': 'T2'}, {'segment': 'leg3', 'name': 'Run'}]",5,"['00:09:16', '00:01:01', '00:26:36', '00:00:27', '00:13:40', '00:50:57']",,sprint
194194,2025 World Triathlon Mixed Relay Championships Hamburg,2025-world-triathlon-mixed-relay-championships-hamburg,2025-07-08 14:53:07,Hamburg,,scheduled,"['featured', 'live_trilive']",2025-07-12,2025-07-13,Germany,DE,GER,10,170,Europe,,https://cms.triathlon.org/assets/b385bbd2-994b-4606-b882-7ca5656fc800.svg,https://cms.triathlon.org/assets/55d8ab45-2131-481b-a436-3e08d61b8561.svg,53.54883,9.98717,"[{'event_id': 194194, 'cat_id': 348, 'cat_name': 'World Championships', 'cat_parent_id': 1}]","[{'event_id': 194194, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 194194, 'cat_id': 380, 'cat_name': 'Mixed Relay', 'cat_parent_id': 357}]",True,https://www.triathlon.org/events/2025-world-triathlon-mixed-relay-championships-hamburg,https://api.triathlon.org/v1/events/194194,674215,Mixed Relay,2025-07-13,,1204630,POR,247,https://cms.triathlon.org/assets/db01427d-e3b5-4b3b-bf1c-e77bc82291a0,https://cms.triathlon.org/assets/b806f716-d5e9-4731-ad4b-43b9aa1d585b,11,00:17:54,2.0,126798.0,https://www.triathlon.org/results/result/2025-world-triathlon-mixed-relay-championships-hamburg/674215,https://api.triathlon.org/v1/events/194194/programs/674215/results,"[{'segment': 'leg1', 'name': 'Swim'}, {'segment': 't1', 'name': 'T1'}, {'segment': 'leg2', 'name': 'Bike'}, {'segment': 't2', 'name': 'T2'}, {'segment': 'leg3', 'name': 'Run'}]",5,"['00:03:56', '00:00:30', '00:08:42', '00:00:21', '00:04:26']","{'team_id': 126798, 'team_title': 'Team I Portugal', 'team_country_id': 247, 'team_country_name': 'Portugal', 'team_noc': 'POR', 'team_country_isoa2': 'PT', 'team_flag': 'https://cms.triathlon.org/assets/db01427d-e3b5-4b3b-bf1c-e77bc82291a0', 'team_flag_circle': 'https://cms.triathlon.org/assets/b806f716-d5e9-4731-ad4b-43b9aa1d585b', 'profile_edit_date': None, 'team_profile_image': None, 'team_slug': 'team-i-portugal', 'team_listing': None, 'team_api_listing': 'https://api.triathlon.org/v1/athletes/126798'}",mixed relay
194193,2025 World Triathlon Championship Series Hamburg,2025-world-triathlon-championship-series-hamburg,2025-07-08 14:55:51,Hamburg,,scheduled,"['featured', 'trending', 'live_trilive']",2025-07-12,2025-07-13,Germany,DE,GER,10,170,Europe,https://prod-tri-assets.imgix.net/b6976c71-fd33-4b39-99de-f525b23910b4.png,https://cms.triathlon.org/assets/b385bbd2-994b-4606-b882-7ca5656fc800.svg,https://cms.triathlon.org/assets/55d8ab45-2131-481b-a436-3e08d61b8561.svg,53.54883,9.98717,"[{'event_id': 194193, 'cat_id': 351, 'cat_name': 'World Championship Series', 'cat_parent_id': 1}]","[{'event_id': 194193, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 194193, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}]",True,https://www.triathlon.org/events/2025-world-triathlon-championship-series-hamburg,https://api.triathlon.org/v1/events/194193,674119,Elite Men,2025-07-12,,1204225,POR,247,https://cms.triathlon.org/assets/db01427d-e3b5-4b3b-bf1c-e77bc82291a0,https://cms.triathlon.org/assets/b806f716-d5e9-4731-ad4b-43b9aa1d585b,2,00:50:14,,,https://www.triathlon.org/results/result/2025-world-triathlon-championship-series-hamburg/674119,https://api.triathlon.org/v1/events/194193/programs/674119/results,"[{'segment': 'leg1', 'name': 'Swim'}, {'segment': 't1', 'name': 'T1'}, {'segment': 'leg2', 'name': 'Bike'}, {'segment': 't2', 'name': 'T2'}, {'segment': 'leg3', 'name': 'Run'}]",5,"['00:08:39', '00:00:32', '00:26:47', '00:00:22', '00:13:57', '00:50:14']",,sprint
194971,2025 World Triathlon Championship Series Alghero,2025-world-triathlon-championship-series-alghero,2025-06-25 08:47:58,Alghero,,scheduled,"['trending', 'featured', 'live_trilive', 'has_timing']",2025-05-31,2025-05-31,Italy,IT,ITA,10,190,Europe,https://prod-tri-assets.imgix.net/e708a6a6-f937-4920-add4-cdfd97269e62.svg,https://cms.triathlon.org/assets/95f6dee9-b0e4-4b2a-9d9e-a2a3cae737f0.svg,https://cms.triathlon.org/assets/9b100a17-b57e-4ce4-9ec2-2735e71f417c.svg,40.56101100080883,8.315724630631621,"[{'event_id': 194971, 'cat_id': 351, 'cat_name': 'World Championship Series', 'cat_parent_id': 1}]","[{'event_id': 194971, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 194971, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]",True,https://www.triathlon.org/events/2025-world-triathlon-championship-series-alghero,https://api.triathlon.org/v1/events/194971,675539,Elite Men,2025-05-31,,1196412,POR,247,https://cms.triathlon.org/assets/db01427d-e3b5-4b3b-bf1c-e77bc82291a0,https://cms.triathlon.org/assets/b806f716-d5e9-4731-ad4b-43b9aa1d585b,31,01:51:57,,,https://www.triathlon.org/results/result/2025-world-triathlon-championship-series-alghero/675539,https://api.triathlon.org/v1/events/194971/programs/675539/results,"[{'segment': 'leg1', 'name': 'Swim'}, {'segment': 't1', 'name': 'T1'}, {'segment': 'leg2', 'name': 'Bike'}, {'segment': 't2', 'name': 'T2'}, {'segment': 'leg3', 'name': 'Run'}]",5,"['00:17:32', '00:00:44', '00:57:12', '00:00:31', '00:35:59', '01:51:57']",,standard
194192,2025 World Triathlon Championship Series Yokohama,2025-world-triathlon-championship-series-yokohama,2025-05-23 07:11:58,Yokohama,,scheduled,"['featured', 'trending', 'live_trilive']",2025-05-17,2025-05-17,Japan,JP,JPN,13,192,Asia,https://prod-tri-assets.imgix.net/434b19c1-5598-4051-925d-d937fb0e2f12.png,https://cms.triathlon.org/assets/20590379-5c55-405e-af34-98ca68e7f7f8.svg,https://cms.triathlon.org/assets/4f536358-6f57-47d1-a4a7-fbcd34d9b158.svg,35.44367,139.63796,"[{'event_id': 194192, 'cat_id': 351, 'cat_name': 'World Championship Series', 'cat_parent_id': 1}]","[{'event_id': 194192, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 194192, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]",True,https://www.triathlon.org/events/2025-world-triathlon-championship-series-yokohama,https://api.triathlon.org/v1/events/194192,674074,Elite Men,2025-05-17,17:00:00,1194811,POR,247,https://cms.triathlon.org/assets/db01427d-e3b5-4b3b-bf1c-e77bc82291a0,https://cms.triathlon.org/assets/b806f716-d5e9-4731-ad4b-43b9aa1d585b,2,01:41:14,,,https://www.triathlon.org/results/result/2025-world-triathlon-championship-series-yokohama/674074,https://api.triathlon.org/v1/events/194192/programs/674074/results,"[{'segment': 'leg1', 'name': 'Swim'}, {'segment': 't1', 'name': 'T1'}, {'segment': 'leg2', 'name': 'Bike'}, {'segment': 't2', 'name': 'T2'}, {'segment': 'leg3', 'name': 'Run'}]",5,"['00:17:58', '00:00:46', '00:52:22', '00:00:20', '00:29:49', '01:41:14']",,standard
194195,2025 World Triathlon Championship Series Abu Dhabi,2025-world-triathlon-championship-series-abu-dhabi,2025-04-01 07:09:25,Abu Dhabi,,scheduled,"['featured', 'live_trilive', 'trending']",2025-02-15,2025-02-16,United Arab Emirates,AE,UAE,13,291,Asia,https://prod-tri-assets.imgix.net/e25ec664-52b0-40a0-b5bf-f76f5410bddc.png,https://cms.triathlon.org/assets/b2a0ae6c-2d7b-4364-8b9e-064af1e16e83.svg,https://cms.triathlon.org/assets/a8bddc81-91a1-4879-b5fd-22c830d7456d.svg,24.45388,54.37734,"[{'event_id': 194195, 'cat_id': 351, 'cat_name': 'World Championship Series', 'cat_parent_id': 1}]","[{'event_id': 194195, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 194195, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}, {'event_id': 194195, 'cat_id': 380, 'cat_name': 'Mixed Relay', 'cat_parent_id': 357}]",True,https://www.triathlon.org/events/2025-world-triathlon-championship-series-abu-dhabi,https://api.triathlon.org/v1/events/194195,671089,Elite Men,2025-02-15,16:00:00,1187862,POR,247,https://cms.triathlon.org/assets/db01427d-e3b5-4b3b-bf1c-e77bc82291a0,https://cms.triathlon.org/assets/b806f716-d5e9-4731-ad4b-43b9aa1d585b,3,00:48:39,,,https://www.triathlon.org/results/result/2025-world-triathlon-championship-series-abu-dhabi/671089,https://api.triathlon.org/v1/events/194195/programs/671089/results,"[{'segment': 'leg1', 'name': 'Swim'}, {'segment': 't1', 'name': 'T1'}, {'segment': 'leg2', 'name': 'Bike'}, {'segment': 't2', 'name': 'T2'}, {'segment': 'leg3', 'name': 'Run'}]",5,"['00:08:17', '00:00:35', '00:24:56', '00:00:21', '00:14:31', '00:48:39']",,sprint
194195,2025 World Triathlon Championship Series Abu Dhabi,2025-world-triathlon-championship-series-abu-dhabi,2025-04-01 07:09:25,Abu Dhabi,,scheduled,"['featured', 'live_trilive', 'trending']",2025-02-15,2025-02-16,United Arab Emirates,AE,UAE,13,291,Asia,https://prod-tri-assets.imgix.net/e25ec664-52b0-40a0-b5bf-f76f5410bddc.png,https://cms.triathlon.org/assets/b2a0ae6c-2d7b-4364-8b9e-064af1e16e83.svg,https://cms.triathlon.org/assets/a8bddc81-91a1-4879-b5fd-22c830d7456d.svg,24.45388,54.37734,"[{'event_id': 194195, 'cat_id': 351, 'cat_name': 'World Championship Series', 'cat_parent_id': 1}]","[{'event_id': 194195, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 194195, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}, {'event_id': 194195, 'cat_id': 380, 'cat_name': 'Mixed Relay', 'cat_parent_id': 357}]",True,https://www.triathlon.org/events/2025-world-triathlon-championship-series-abu-dhabi,https://api.triathlon.org/v1/events/194195,671091,Mixed Relay,2025-02-16,13:30:00,1187997,POR,247,https://cms.triathlon.org/assets/db01427d-e3b5-4b3b-bf1c-e77bc82291a0,https://cms.triathlon.org/assets/b806f716-d5e9-4731-ad4b-43b9aa1d585b,DNF,,2.0,126798.0,https://www.triathlon.org/results/result/2025-world-triathlon-championship-series-abu-dhabi/671091,https://api.triathlon.org/v1/events/194195/programs/671091/results,"[{'segment': 'leg1', 'name': 'Swim'}, {'segment': 't1', 'name': 'T1'}, {'segment': 'leg2', 'name': 'Bike'}, {'segment': 't2', 'name': 'T2'}, {'segment': 'leg3', 'name': 'Run'}]",5,"['00:03:45', '00:00:35', '00:00:00', '00:00:00', '00:00:00']","{'team_id': 126798, 'team_title': 'Team I Portugal', 'team_country_id': 247, 'team_country_name': 'Portugal', 'team_noc': 'POR', 'team_country_isoa2': 'PT', 'team_flag': 'https://cms.triathlon.org/assets/db01427d-e3b5-4b3b-bf1c-e77bc82291a0', 'team_flag_circle': 'https://cms.triathlon.org/assets/b806f716-d5e9-4731-ad4b-43b9aa1d585b', 'profile_edit_date': None, 'team_profile_image': None, 'team_slug': 'team-i-portugal', 'team_listing': None, 'team_api_listing': 'https://api.triathlon.org/v1/athletes/126798'}",sprint
183767,2024 World Triathlon Championship Finals Torremolinos-Andalucia,2024-world-triathlon-championship-finals-torremolinos,2024-10-24 10:56:54,Torremolinos,https://torremolinos.triathlon.org/,scheduled,"['featured_homepage', 'featured', 'live_trilive', 'trending', 'has_timing']",2024-10-17,2024-10-20,Spain,ES,ESP,10,270,Europe,,https://cms.triathlon.org/assets/02d5a8fb-96cd-4125-b8f0-ef5d40812d54.svg,https://cms.triathlon.org/assets/df2805aa-1437-4ab5-94fe-16ced320f764.svg,36.72126,-4.42127,"[{'event_id': 183767, 'cat_id': 351, 'cat_name': 'World Championship Series', 'cat_parent_id': 1}, {'event_id': 183767, 'cat_id': 624, 'cat_name': 'World Championship Finals', 'cat_parent_id': 1}]","[{'event_id': 183767, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 183767, 'cat_id': 376, 'cat_name': 'Sprint', 'cat_parent_id': 357}, {'event_id': 183767, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}, {'event_id': 183767, 'cat_id': 380, 'cat_name': 'Mixed Relay', 'cat_parent_id': 357}]",True,https://www.triathlon.org/events/2024-world-triathlon-championship-finals-torremolinos,https://api.triathlon.org/v1/events/183767,635630,Elite Men,2024-10-20,,1182836,POR,247,https://cms.triathlon.org/assets/db01427d-e3b5-4b3b-bf1c-e77bc82291a0,https://cms.triathlon.org/assets/b806f716-d5e9-4731-ad4b-43b9aa1d585b,24,01:46:08,,,https://www.triathlon.org/results/result/2024-world-triathlon-championship-finals-torremolinos/635630,https://api.triathlon.org/v1/events/183767/programs/635630/results,"[{'segment': 'leg1', 'name': 'Swim'}, {'segment': 't1', 'name': 'T1'}, {'segment': 'leg2', 'name': 'Bike'}, {'segment': 't2', 'name': 'T2'}, {'segment': 'leg3', 'name': 'Run'}]",5,"['00:19:22', '00:01:13', '00:53:39', '00:00:21', '00:31:36', '01:46:08']",,standard
163893,Paris 2024 Olympic Games,paris-2024-olympic-games,2024-09-16 11:04:43,Paris,,scheduled,"['trending', 'featured']",2024-07-30,2024-08-05,France,FR,FRA,10,166,Europe,,https://cms.triathlon.org/assets/0730c9c1-0827-4d88-8920-f9e6e96dd43d.svg,https://cms.triathlon.org/assets/3e062fbf-4395-4774-92eb-ca731b033523.svg,48.85661,2.35222,"[{'event_id': 163893, 'cat_id': 343, 'cat_name': 'Major Games', 'cat_parent_id': 1}]","[{'event_id': 163893, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 163893, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}, {'event_id': 163893, 'cat_id': 380, 'cat_name': 'Mixed Relay', 'cat_parent_id': 357}]",False,https://www.triathlon.org/events/paris-2024-olympic-games,https://api.triathlon.org/v1/events/163893,655047,Elite Men,2024-07-31,,1165863,POR,247,https://cms.triathlon.org/assets/db01427d-e3b5-4b3b-bf1c-e77bc82291a0,https://cms.triathlon.org/assets/b806f716-d5e9-4731-ad4b-43b9aa1d585b,5,01:43:56,,,https://www.triathlon.org/results/result/paris-2024-olympic-games/655047,https://api.triathlon.org/v1/events/163893/programs/655047/results,"[{'segment': 'leg1', 'name': 'Swim'}, {'segment': 't1', 'name': 'T1'}, {'segment': 'leg2', 'name': 'Bike'}, {'segment': 't2', 'name': 'T2'}, {'segment': 'leg3', 'name': 'Run'}]",5,"['00:21:03', '00:00:52', '00:51:30', '00:00:27', '00:30:04', '01:43:56']",,standard
